,online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),menu_item,listed_in(type)
409,1,0,3.5,88,1,5,350.0,9088,Delivery
410,1,0,3.5,179,1,1,600.0,9088,Delivery
411,1,0,3.8,61,4,5,100.0,9088,Delivery
412,1,0,3.7,128,83,1,450.0,9088,Delivery
413,1,0,3.8,339,32,5,400.0,1284,Delivery
414,1,0,4.1,449,4,5,100.0,9088,Delivery
415,1,0,4.1,210,32,7,150.0,9088,Delivery
416,1,0,3.7,57,4,5,200.0,9088,Delivery
417,1,0,3.0,213,1,5,400.0,9088,Delivery
418,1,0,3.2,208,32,7,250.0,7370,Delivery
419,1,0,3.8,70,1,5,100.0,216,Delivery
420,1,0,4.0,219,4,0,600.0,9088,Delivery
421,1,0,3.7,59,1,5,200.0,9088,Delivery
422,1,0,3.1,10,1,5,500.0,9088,Delivery
423,1,0,3.0,9,49,5,400.0,9088,Delivery
424,1,0,3.7,124,49,1,750.0,9088,Delivery
425,1,0,3.7,19,49,5,100.0,185,Delivery
426,1,0,,0,32,6,300.0,9088,Delivery
427,1,0,3.3,4,4,5,150.0,9088,Delivery
428,1,0,3.3,4,49,4,150.0,9088,Delivery
429,1,0,3.8,21,4,4,200.0,9088,Delivery
430,1,0,3.4,8,1,7,250.0,127,Delivery
431,1,0,3.5,10,49,5,400.0,9088,Delivery
432,1,0,,0,1,5,400.0,9088,Delivery
433,1,0,3.5,10,49,5,400.0,7110,Delivery
434,1,0,3.2,4,49,5,200.0,9088,Delivery
435,1,0,3.1,4,1,3,350.0,4995,Delivery
436,1,0,,0,83,5,300.0,9088,Delivery
437,1,0,3.6,16,29,6,500.0,9088,Delivery
438,1,0,,0,1,5,150.0,9088,Delivery
439,1,0,,0,49,6,300.0,2957,Delivery
440,1,0,3.3,4,49,7,100.0,9088,Delivery
441,1,0,3.4,12,32,5,300.0,9088,Delivery
442,1,0,,0,32,7,150.0,7167,Delivery
443,1,0,3.9,14,32,1,600.0,7416,Delivery
444,1,0,3.7,0,32,5,300.0,1190,Delivery
445,1,0,2.8,5,13,6,199.0,9088,Delivery
446,1,0,3.3,5,4,2,800.0,9088,Delivery
447,1,0,3.5,15,1,5,250.0,9088,Delivery
448,1,0,3.4,4,4,1,500.0,9088,Delivery
449,1,0,,0,57,7,250.0,9088,Delivery
450,1,0,3.6,17,4,5,300.0,9088,Delivery
451,1,0,,0,1,5,200.0,9088,Delivery
452,1,0,,0,4,5,300.0,9088,Delivery
453,1,0,3.3,6,1,5,500.0,3342,Delivery
454,1,0,3.4,10,1,5,100.0,9088,Delivery
455,1,0,,0,4,5,200.0,9088,Delivery
456,1,1,4.1,775,1,1,800.0,9088,Delivery
457,1,1,4.2,2022,32,1,1000.0,9088,Delivery
458,1,0,,0,4,5,100.0,9088,Delivery
459,1,0,,0,49,5,150.0,9088,Delivery
460,1,1,4.2,150,1,0,600.0,2508,Delivery
461,1,0,4.0,232,4,1,750.0,9088,Delivery
462,1,0,3.9,38,4,5,200.0,9088,Delivery
463,1,0,,0,1,5,300.0,9088,Delivery
464,1,1,3.5,431,32,1,800.0,9088,Delivery
465,1,1,4.2,2115,1,1,800.0,9088,Delivery
466,1,0,3.4,30,83,5,200.0,9088,Delivery
467,1,0,4.2,150,32,1,800.0,2990,Delivery
468,1,0,3.3,12,49,5,200.0,9088,Delivery
469,1,0,3.8,155,32,1,450.0,9088,Delivery
470,1,0,3.7,33,4,5,200.0,9088,Delivery
471,1,1,4.1,666,32,2,1000.0,9088,Delivery
472,1,0,,0,32,5,200.0,7372,Delivery
473,1,0,3.9,240,4,0,700.0,9088,Delivery
474,1,0,3.8,918,1,7,800.0,9088,Delivery
475,1,0,4.0,465,32,1,600.0,4924,Delivery
476,1,1,4.1,970,32,7,1500.0,9088,Delivery
477,1,0,3.3,128,1,5,300.0,9088,Delivery
478,1,0,3.6,241,49,5,300.0,9088,Delivery
479,1,0,3.4,22,1,5,200.0,9088,Delivery
480,1,0,4.3,734,1,5,200.0,5687,Delivery
481,1,0,3.8,130,32,5,400.0,9088,Delivery
482,1,0,4.2,261,32,0,700.0,9088,Delivery
483,1,0,4.0,191,49,5,300.0,215,Delivery
484,1,0,4.1,364,4,1,550.0,229,Delivery
485,1,0,,0,49,5,500.0,9088,Delivery
486,1,0,3.8,133,1,5,300.0,9088,Delivery
487,1,0,3.9,888,1,1,750.0,4914,Delivery
488,1,0,3.1,13,1,0,400.0,9088,Delivery
489,1,0,3.9,750,4,1,500.0,6038,Delivery
490,1,1,4.2,164,1,0,500.0,9088,Delivery
491,0,0,,0,4,5,200.0,9088,Delivery
492,1,0,3.2,6,1,3,200.0,6802,Delivery
493,1,0,3.8,527,4,1,500.0,9088,Delivery
494,0,0,4.3,345,1,4,400.0,9088,Desserts
495,0,0,4.4,356,1,7,150.0,9088,Desserts
496,1,0,3.7,17,1,4,400.0,7189,Desserts
497,1,0,3.9,38,1,4,150.0,3258,Desserts
498,0,0,3.7,78,1,7,150.0,9088,Desserts
